PartitionKey,RowKey,DeviceId,DeviceId@type,EventEnqueuedUtcTime,EventEnqueuedUtcTime@type,EventProcessedUtcTime,Latency,EventProcessedUtcTime@type,Humidity,Humidity@type,IoTHub,IoTHub@type,Light,Light@type,PartitionId,PartitionId@type,Sound,Sound@type,Temperature,Temperature@type,Gas,Gas@type,,Time,average delay,max delay,min delay
MT3620,2019-06-28T02:06:03.7900000Z,MT3620,Edm.String,2019-06-28T02:06:03.790Z,Edm.DateTime,2019-06-28T02:06:03.926Z,0.136,Edm.DateTime,59,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,247,Edm.Int64,25,Edm.Int64,271,Edm.Int64,,2AM-3AM,81.417476,185,22
MT3620,2019-06-28T02:06:35.0730000Z,MT3620,Edm.String,2019-06-28T02:06:35.073Z,Edm.DateTime,2019-06-28T02:06:35.112Z,0.039,Edm.DateTime,59,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,283,Edm.Int64,25,Edm.Int64,299,Edm.Int64,,3AM-4AM,80.605263,136,22
MT3620,2019-06-28T02:07:06.5070000Z,MT3620,Edm.String,2019-06-28T02:07:06.507Z,Edm.DateTime,2019-06-28T02:07:06.607Z,0.1,Edm.DateTime,59,Edm.Int64,Record,Edm.String,752,Edm.Int64,0,Edm.Int64,267,Edm.Int64,25,Edm.Int64,290,Edm.Int64,,4AM-5AM,78.578947,141,23
MT3620,2019-06-28T02:07:38.3720000Z,MT3620,Edm.String,2019-06-28T02:07:38.372Z,Edm.DateTime,2019-06-28T02:07:38.489Z,0.117,Edm.DateTime,59,Edm.Int64,Record,Edm.String,752,Edm.Int64,0,Edm.Int64,295,Edm.Int64,25,Edm.Int64,297,Edm.Int64,,5AM-6AM,76.04386,136,21
MT3620,2019-06-28T02:08:09.6710000Z,MT3620,Edm.String,2019-06-28T02:08:09.671Z,Edm.DateTime,2019-06-28T02:08:09.751Z,0.08,Edm.DateTime,59,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,298,Edm.Int64,25,Edm.Int64,305,Edm.Int64,,6AM-7AM,83.473684,479,22
MT3620,2019-06-28T02:08:40.9540000Z,MT3620,Edm.String,2019-06-28T02:08:40.954Z,Edm.DateTime,2019-06-28T02:08:41.024Z,0.07,Edm.DateTime,59,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,299,Edm.Int64,25,Edm.Int64,286,Edm.Int64,,7AM-8AM,79.017391,145,26
MT3620,2019-06-28T02:09:13.1310000Z,MT3620,Edm.String,2019-06-28T02:09:13.131Z,Edm.DateTime,2019-06-28T02:09:13.220Z,0.089,Edm.DateTime,59,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,318,Edm.Int64,25,Edm.Int64,299,Edm.Int64,,8AM-9AM,77.184211,147,14
MT3620,2019-06-28T02:09:44.3670000Z,MT3620,Edm.String,2019-06-28T02:09:44.367Z,Edm.DateTime,2019-06-28T02:09:44.494Z,0.127,Edm.DateTime,59,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,314,Edm.Int64,25,Edm.Int64,290,Edm.Int64,,9AM-10AM,74.325843,137,22
MT3620,2019-06-28T02:10:15.6060000Z,MT3620,Edm.String,2019-06-28T02:10:15.606Z,Edm.DateTime,2019-06-28T02:10:15.724Z,0.118,Edm.DateTime,59,Edm.Int64,Record,Edm.String,752,Edm.Int64,0,Edm.Int64,317,Edm.Int64,25,Edm.Int64,300,Edm.Int64,,10AM-11AM,76.72807,139,19
MT3620,2019-06-28T02:10:47.5060000Z,MT3620,Edm.String,2019-06-28T02:10:47.506Z,Edm.DateTime,2019-06-28T02:10:47.594Z,0.088,Edm.DateTime,59,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,340,Edm.Int64,25,Edm.Int64,323,Edm.Int64,,11AM-12AM,78.065934,143,22
MT3620,2019-06-28T02:11:19.3520000Z,MT3620,Edm.String,2019-06-28T02:11:19.352Z,Edm.DateTime,2019-06-28T02:11:19.465Z,0.113,Edm.DateTime,59,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,338,Edm.Int64,25,Edm.Int64,326,Edm.Int64,,12AM-1PM,76.956522,134,15
MT3620,2019-06-28T02:11:50.9150000Z,MT3620,Edm.String,2019-06-28T02:11:50.915Z,Edm.DateTime,2019-06-28T02:11:50.984Z,0.069,Edm.DateTime,59,Edm.Int64,Record,Edm.String,752,Edm.Int64,0,Edm.Int64,342,Edm.Int64,25,Edm.Int64,316,Edm.Int64,,1PM-2PM,82,138,19
MT3620,2019-06-28T02:12:22.2230000Z,MT3620,Edm.String,2019-06-28T02:12:22.223Z,Edm.DateTime,2019-06-28T02:12:22.295Z,0.072,Edm.DateTime,59,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,351,Edm.Int64,25,Edm.Int64,331,Edm.Int64,,2PM-3PM,81.686957,166,23
